,pharma_cid,total,attended,lost
349,companydbac71de-88ba-11ec-88ce-d995e993d3f9,0,0,0
350,company817c8b65-6e08-11ec-af69-f1a7d8b1a307,0,0,0
351,companyb3bcb664-a38f-11ec-b0aa-d3ca1eaed4d6,0,0,0
352,companycc7609bf-3ca3-11ec-9fe8-5d0c9ea4da04,0,0,0
353,company008ed9bf-ad00-11ec-931e-c5fd39da12cd,1,0,500
354,company4df6e026-af3a-11ec-8fe0-73b40e8fdbdb,0,0,0
355,company93bb344f-574e-11ec-97fa-137fb645343e,0,0,0
356,company1a5ae98b-99e7-11ec-8a99-835d8feeedf5,1,0,500
357,company752d109a-8e29-11ec-91fa-31125094e222,0,0,0
358,companyf8120964-a034-11ec-b0f8-5d64f60ac2cc,0,0,0
359,companya3a1a571-af34-11ec-af8a-27c7a878a530,0,0,0
360,company3ca43b65-8a45-11ec-a6df-878046f1399c,0,0,0
361,companyd33fd6ae-c9ed-11ec-84b2-93f7ed1ac61d,0,0,0
362,company40758b2e-b4b6-11ec-938c-499ed116910f,0,0,0
363,company9ae65d05-ba46-11ec-88f8-0be60d403077,0,0,0
364,company5dfb792c-954c-11ec-aca2-4f6e68f8c0e9,0,0,0
365,company6d39b061-b0de-11ec-8247-e36635d8961d,0,0,0
366,company3a021bbb-c6eb-11ec-9cf0-9f4ba24535e2,0,0,0
367,company974cacb7-c54d-11ec-b701-1384a26653d8,0,0,0
368,company22d827f5-b4a4-11ec-8705-bbc69fcfa487,0,0,0
369,companybe7b8997-93bb-11ec-a982-ab08001fd204,0,0,0
370,companydbac71de-88ba-11ec-88ce-d995e993d3f9,0,0,0
371,company277e4068-9ede-11ec-85a0-5fbe69780f7e,0,0,0
372,company12ac560c-93ae-11ec-a431-6dfcc9209bb5,0,0,0
373,company379ceb2a-ab33-11ec-800b-8f36374e2aea,0,0,0
374,company95c42fd2-751e-11ec-a6cb-e37448946019,0,0,0
375,company496cd0e7-c4b1-11ec-89e4-0b1e2f8db02f,0,0,0
376,company7d8324c6-b733-11ec-a2e2-c1ecdf275869,0,0,0
377,company2680517b-79b4-11ec-a98d-4b81b6774588,0,0,0
378,companyc64972eb-6a02-11ec-86c1-11733cbebe03,0,0,0
379,company03b50c56-8b23-11ec-8ff9-c5e99fab6ab1,0,0,0
380,companyde07e195-36f2-11ec-b2d9-99d4e1280722,1,1,0
